YAC max_sacc_amp 1.1256572679529953e-07
YFS mean_sacc_amp -1.8748090208284445
YFS sent_saccade 0.9927076882103032 2.039706352124565 -2.1146674753618093 0.8196220687893337 -2.252231303402172 2.0790128150689644
YFS sent_gaze_sacc -2.5633108837428704 -1.7047099842745903 -0.5396782997419649 1.2493841320725316 1.6274957563894032 -1.9211119399850005 0.7687776735984612 -1.5041760411112557 1.027118263572608
YFS sent_gaze_eeg_means -2.787558218192995 -1.5323325201503866 -0.39986567347041374 1.2137552181213593 2.497939749134179 -2.794824097354755 0.8415580754603077 0.5741621169087455 0.4704952929781846 0.23802481742486306 0.0671878022603282
YHS max_sacc_amp 0.3559403817044982
YHS mean_sacc_amp -2.804005371428232
YHS sent_saccade 1.898431243448376 -0.20660148162411837 -0.8399581072274528 0.16536811058910633 -4.541635535546298 2.690273562350923
YHS sent_gaze_sacc -2.7263350023053654 -1.091084777289252 1.6387677184057536 1.5718970577912423 0.038368369074771765 -0.5615796854350205 -0.449140958610952 -2.6486459737893724 1.51233006903279
YHS sent_gaze_eeg_means -3.097042100019985 -0.3317345446652636 1.306737785203337 -0.47331368762900405 0.14913623311992544 0.14546287832853003 0.5328266886536714 -0.5639622044496911 -0.2572527801616918 1.5091900694327776 0.38393995783582135
YIS max_sacc_amp 2.670408548928557
YIS mean_sacc_amp -4.257396175848315
YIS sent_saccade 0.22658939300119685 0.9694900497653172 -1.725229471992202 1.304270563001706 -4.7475128909366955 2.9026650332302935
YIS sent_gaze_sacc -2.0128950199472393 -1.9208776707956041 3.3013514001315216 -0.15035929687026997 0.6093133688830763 -1.8189551484935365 0.580960325514212 -1.3736763714010827 1.5235708989936234
YIS sent_gaze_eeg_means -2.0068900776330874 -1.2790022348654897 3.0966482303441705 -0.49038198861074817 1.3237838666886814 -1.6621483152839795 0.7670042231202853 -1.0055089711035345 0.4958712877276119 1.0818561899645713 -0.6747399491882287
YLS max_sacc_amp -1.2876139379110088
YLS mean_sacc_amp -2.295822409766134
YLS sent_saccade 1.55101876441134 -1.103005545508567 0.37974018315585 0.8920119704510782 -3.8357590684082585 1.6796843825218923
YLS sent_gaze_sacc -2.04868584072975 -0.8936447976680126 -1.5158850978790679 2.187261702522767 -1.2399679095131837 0.4324209429869701 1.0579519245516527 -3.387422518318232 1.5093355188059698
YLS sent_gaze_eeg_means -1.95586989235967 -0.5084680220248031 -2.079872131007329 2.1624788687913963 -0.7826256938339492 -0.5951644788318226 1.1851686136368347 0.08256715838342117 1.6043440956553916 1.0643722481100157 -0.8524746050197087
YMD max_sacc_amp 1.3019153231885739e-06
YMD mean_sacc_amp -3.891959486280937
YMD sent_saccade 1.4970855125983726 -0.373240848858514 1.6308333949126155 1.1680473011076051 -4.481646170152498 1.3538947759722968
YMD sent_gaze_sacc -1.543680118572825 0.16142349428112568 -0.2857931973510436 1.4871034667488892 -0.5261204521644808 1.4092126817332435 0.9221425006630254 -3.7221300798497374 1.2703546165870938
YMD sent_gaze_eeg_means -1.5428819489726435 0.9759848693630421 0.33299150046454373 0.9619019458914905 -0.6830661816832218 1.1702589448353273 1.2008210787140243 -0.8589723964371158 1.1068165275203097 1.2459625691217335 0.22565123702268228
YRK max_sacc_amp -0.18157510372923935
YRK mean_sacc_amp -2.343116873697761
YRK sent_saccade -0.0421571777732983 0.3019829987275723 3.1056727242649527 0.12075589318854424 -2.4775780790076602 0.5925128472497824
YRK sent_gaze_sacc -0.9654076783636343 2.689346979650137 -1.7028186917102612 0.31869764963140046 0.0726757004265354 3.4430854990593707 0.6327613119113549 -2.3194161802218924 0.07029981925672878
YRK sent_gaze_eeg_means -0.7740624863703414 1.763454570445942 0.1177483339526506 0.14914878513588206 0.06155465984290224 3.2054195484120362 0.9713319472085945 0.7096287800180262 -0.18371263767217555 1.757803216978871 -0.15635628394526427
YRP max_sacc_amp 1.87995565417709e-05
YRP mean_sacc_amp 0.011880966242356471
YRP sent_saccade -1.265274590202546 -1.0439593299399927 2.983691185747513 1.5010852756259538 0.43823990293564186 -0.08209965255091511
YRP sent_gaze_sacc 2.0389223076372884 1.556861491856635 -1.562230037086078 -1.855917471360645 -1.101882457605416 2.8018575763671767 1.281117982712968 -0.1758897398361896 0.4887627041332867
YRP sent_gaze_eeg_means 1.8505400598017008 1.3202487358400274 -0.985421604078411 -1.6628238173906749 -0.9214020843995112 2.384920761524752 1.6325148852510487 0.6915105391485616 2.1210665290833197 0.8282214492492385 -0.0009540655965910405
YSD max_sacc_amp 2.4806794313530744
YSD mean_sacc_amp -3.640955539615137
YSD sent_saccade -0.13242538721097946 0.8013640136125126 -1.055154649432462 0.1175888144106889 -5.326388694412491 3.2403709949345063
YSD sent_gaze_sacc -3.141136797548429 -1.0274830552962797 1.8451532290880388 -0.4140289346447363 0.882982866137688 -0.3569129626169836 0.007396340801199871 -3.418571760580186 1.9961707232056343
YSD sent_gaze_eeg_means -3.2999799280671995 0.10310794472773409 1.7531983697348161 -0.5039294346072574 1.4028148787689687 -1.883146243159966 0.4728784528112762 0.2892630041110337 0.6323176942253443 0.06464445567103444 0.3388431534604582
YSL max_sacc_amp -1.1324084344443326
YSL mean_sacc_amp -2.6091644922342483
YSL sent_saccade 0.7251559667443691 -0.11121040490921547 0.7425072824127332 -0.43111101963172865 -3.321310366556935 1.135850366339956
YSL sent_gaze_sacc -0.9034021556936871 -0.4638717839299782 1.5506290625476062 0.8461908220919835 -0.31909899864615077 0.6744385806128638 -0.3288976810675587 -1.647594337846251 0.6018124678344587
YSL sent_gaze_eeg_means -0.9051527725430302 -0.2111961893999388 1.8918746396719919 0.011485239110065897 -0.1884221533143484 0.2833729886533044 0.06685225582348216 0.9367173960624509 -0.054547587880497454 -0.4746123807467893 0.9172479756732637
YTL max_sacc_amp 3.272201967820799
YTL mean_sacc_amp -6.200776103540232
YTL sent_saccade -0.16189883435247726 1.1713059929554468 -2.8030607661512152 1.6003926945991653 -6.243306397805522 2.534481722109409
YTL sent_gaze_sacc -2.6123873238221607 -0.27527474930594203 1.6033750466398429 -1.335959700998786 0.49765973895440746 -2.4750482395357754 1.194868429686195 -4.237357981187532 0.974913010473956
YTL sent_gaze_eeg_means -2.937790761523835 0.15570428213774892 1.6028343314081404 -1.401133806418973 0.7935103223453761 -3.150730211019423 1.6785780534822266 -1.5277218906931587 0.901873505991984 0.9951331886820084 -0.4019837542634759
