ZDN max_sacc_amp 2.929973014260133
ZMG sent_gaze_eeg_means -1.5209077226250927 0.4986142581295237 -0.2425424680677359 -0.9809277126444429 0.2823051592562713 -2.230056819316191 0.6481483453954077 1.22573167088646 -1.316260733501004 0.406067608151054 5.900571527313981
ZGW max_sacc_amp 2.080073262442952
ZGW mean_sacc_amp 1.1486744265358783e-05
ZGW sent_saccade 0.2078744296266598 2.3697512754813084 -0.8973665569582384 0.387835282141277 -2.790998125652203 2.7383186556597114
ZGW sent_gaze_sacc -0.07900177097402 2.220900922573111 1.6611314947938711 0.30328792687792433 1.2816611093885981 -2.0536796111429676 0.5913301234454396 -0.5869576457941736 0.9434086736558133
ZGW sent_gaze_eeg_means -0.2457544375465885 2.2031164696981267 1.0085812109187102 0.19835718618194068 1.6791374727721304 -1.1389281922671153 0.24906124818630296 -2.0883096105789054 -1.0926558617161568 1.0256403604022515 -3.7084157125822252
ZKW max_sacc_amp -1.5444232533745606e-07
ZKW mean_sacc_amp -3.257937476904878
ZKW sent_saccade -1.19126122689489 3.229920214703213 -1.5277265754220835 2.921074145508738 -2.893886614445741 0.7677638963191198
ZKW sent_gaze_sacc 0.8225545239532621 2.2949281416067855 4.43502304179342 -0.7437092373982285 1.6971789901767422 -0.7263592262727825 1.2638762101577514 -2.2262571422992683 0.3553027128509292
ZKW sent_gaze_eeg_means 0.20953620565447173 0.8990275937929663 2.928139755677567 -1.2802797084277662 1.5420695221529852 -0.7858104803877533 0.12459592654877184 2.69010527574904 0.19250141943090474 3.094937693993569 -3.743516893067756
ZDM max_sacc_amp 6.635556165068834e-07
ZDM mean_sacc_amp -4.7662586592251195
ZDM sent_saccade -1.4431108780089195 -1.18568857901275 -1.6364631661460987 0.7707169752361637 -4.126847304474191 2.803543597933021
ZDM sent_gaze_sacc -0.5335895201683803 -2.255876546664609 4.116874734492682 -1.1161036841770096 -1.1848999934517617 -1.7118841798895363 0.7536285070304497 -2.8545169827411097 2.1039598933627
ZDM sent_gaze_eeg_means -0.5130487929808143 -1.4181767114536308 2.885412609605461 -1.1355029366114244 0.1532343052669304 -3.125437899103657 0.47822685564171236 1.301208946172043 2.182912788856928 0.574570982829545 2.2603232757016753
